"","X","budget","id","original_language","popularity","release_date","revenue","title","vote_average","vote_count","genre","production","country","principal_actor","secondary_actor"
"2906",2906,1e+07,107,"en",53.595686,"2000-09-01",83557872,"Snatch",7.7,3040.9,"Thriller","SKA Films","United States of America","Jason Statham","Brad Pitt"
"2907",2907,0,357837,"cs",0.186234,"2015-10-16",0,"Dancin' It's On",4.3,2,"Romance",NA,"United States of America","Witney Carson","Chehon Wespi-Tschopp"
"2908",2908,11500000,8913,"en",20.747994,"1989-04-21",57469467,"Pet Sematary",6.4,407,"Horror","Paramount Pictures","United States of America","Dale Midkiff","Fred Gwynne"
"2909",2909,0,13889,"ja",2.930853,"1993-04-17",0,"Madadayo",7.5,20,"Drama","Tokuma Shoten","Japan","Tatsuo Matsumura","Kyôko Kagawa"
"2910",2910,11500000,18530,"en",4.75919,"2009-02-07",0,"The Cry of the Owl",5.5,29,"Drama","Studio Hamburg International Production (SHIP)","United Kingdom","Paddy Considine","Julia Stiles"
"2911",2911,0,358451,"zh",0.753362,"2015-08-28",0,"A Tale of Three Cities",6.3,5,"Romance","Huayi Brothers","Hong Kong","Lau Ching-Wan","Tang Wei"
"2912",2912,1.1e+07,927,"en",45.072136,"1984-06-07",153083102,"Gremlins",6.9,1596,"Horror","Warner Bros.","United States of America","Zach Galligan","Phoebe Cates"
"2913",2913,1.1e+07,11,"en",67.3859622,"1977-05-25",369284902.7,"Star Wars",8.1,3040.9,"Science Fiction","Twentieth Century Fox Film Corporation","United States of America","Mark Hamill","Harrison Ford"
"2914",2914,11500000,291870,"en",56.805781,"2016-01-21",94073028,"Dirty Grandpa",5.7,1406,"Comedy","QED International","United States of America","Zac Efron","Robert De Niro"
"2915",2915,1.1e+07,907,"en",12.854853,"1965-12-22",111858363,"Doctor Zhivago",7.4,247,"War","Metro-Goldwyn-Mayer (MGM)","United States of America","Omar Sharif","Julie Christie"
"2916",2916,0,206563,"pt",14.637357,"2014-10-09",0,"Trash",7.1,242,"Thriller","Working Title Films","United Kingdom","Rickson Tevez","Eduardo Luis"
"2917",2917,0,11887,"en",21.801188,"2008-10-22",0,"High School Musical 3: Senior Year",6.2,821,"Romance","Walt Disney Pictures","United States of America","Zac Efron","Vanessa Hudgens"
"2918",2918,2.5e+07,45317,"en",31.019381,"2010-12-17",93617009,"The Fighter",7.2,1486,"Drama","Paramount Pictures","United States of America","Mark Wahlberg","Christian Bale"
"2919",2919,1.1e+07,12094,"en",11.227087,"2006-09-22",72778712,"Jackass Number Two",6.4,298,"Documentary","Paramount Pictures","United States of America","Johnny Knoxville","Bam Margera"
"2920",2920,1.1e+07,10377,"en",19.231507,"1992-03-13",64088552,"My Cousin Vinny",7.3,384,"Drama","Twentieth Century Fox Film Corporation","United States of America","Joe Pesci","Ralph Macchio"
"2921",2921,1.1e+07,249164,"en",31.162838,"2014-08-21",78874843,"If I Stay",7.3,1368,"Drama","New Line Cinema","United States of America","Chloë Grace Moretz","Jamie Blackley"
"2922",2922,1.2e+07,256092,"en",3.94487,"2014-05-26",0,"Drive Hard",3.9,74,"Crime","Silver Wings Films","Canada","Thomas Jane","John Cusack"
"2923",2923,1.1e+07,9942,"en",7.559192,"1989-02-16",49797148,"Major League",6.6,217,"Comedy","Paramount Pictures","United States of America","Tom Berenger","Charlie Sheen"
"2924",2924,0,10748,"en",7.377587,"2007-12-21",0,"St. Trinian's",5.6,142,"Science Fiction","Fragile Films","United Kingdom","Talulah Riley","Rupert Everett"
"2925",2925,1.3e+07,1817,"en",38.018085,"2002-09-09",97837138,"Phone Booth",6.7,1062,"Thriller","Fox 2000 Pictures","United States of America","Colin Farrell","Kiefer Sutherland"
"2926",2926,1.1e+07,10229,"en",33.283554,"2002-01-25",41227069,"A Walk to Remember",7.5,1018,"Romance","Warner Bros.","United States of America","Mandy Moore","Shane West"
"2927",2927,1.1e+07,687,"en",15.864928,"1995-12-29",39363635,"Dead Man Walking",7.3,337,"Drama","Working Title Films","United States of America","Susan Sarandon","Sean Penn"
"2928",2928,10500000,796,"en",23.449703,"1999-03-05",75902208,"Cruel Intentions",6.6,827,"Thriller","Newmarket Capital Group","United States of America","Sarah Michelle Gellar","Ryan Phillippe"
"2929",2929,1.1e+07,22804,"en",31.900899,"2009-10-22",68233629,"Saw VI",6,722,"Mystery","Twisted Pictures","United States of America","Tobin Bell","Costas Mandylor"
"2930",2930,1.1e+07,10156,"en",14.282314,"1981-06-12",31672907,"History of the World: Part I",6.5,204,"Comedy","Twentieth Century Fox Film Corporation","United States of America","Mel Brooks","Dom DeLuise"
"2931",2931,1.1e+07,12837,"en",7.645979,"2008-09-17",38105395,"The Secret Life of Bees",7.4,158,"Adventure","Overbrook Entertainment","United States of America","Dakota Fanning","Queen Latifah"
"2932",2932,1.1e+07,17708,"en",3.495758,"2001-10-12",23978402,"Corky Romano",4.1,54,"Crime","Touchstone Pictures","United States of America","Chris Kattan","Vinessa Shaw"
"2933",2933,1.2e+07,13937,"en",7.558959,"1992-08-07",37170057,"Raising Cain",5.9,65,"Thriller","Universal Pictures","United States of America","John Lithgow","Lolita Davidovich"
"2934",2934,11,28932,"en",3.375208,"1978-04-26",11,"F.I.S.T.",6.4,29,"Drama","United Artists","United States of America","Sylvester Stallone","Rod Steiger"
"2935",2935,1.2e+07,31909,"en",4.234269,"1986-01-01",4884663,"Invaders from Mars",5.5,57,"Science Fiction","Cannon Pictures","United States of America","Karen Black","Hunter Carson"
"2936",2936,1.1e+07,167073,"en",39.337949,"2015-10-20",62076141,"Brooklyn",7.2,1213,"Romance","Wildgaze Films","Ireland","Saoirse Ronan","Domhnall Gleeson"
"2937",2937,1.1e+07,3175,"en",29.543331,"1975-12-18",2e+07,"Barry Lyndon",7.7,505,"War","Warner Bros.","United States of America","Ryan O'Neal","Marisa Berenson"
"2938",2938,2.4e+07,14369,"en",4.12064,"2001-11-21",14782676,"Out Cold",5.8,53,"Comedy","Touchstone Pictures","United States of America","Jason London","Lee Majors"
"2939",2939,2.4e+07,16888,"en",2.259537,"2000-10-13",13700000,"The Ladies Man",5.7,34,"Comedy","SNL Studios","United States of America","Tim Meadows","Karyn Parsons"
"2940",2940,1.1e+07,121826,"en",7.722021,"2012-09-08",59520298,"Quartet",6.3,139,"Romance","Headline Pictures","United Kingdom","Maggie Smith","Tom Courtenay"
"2941",2941,1.1e+07,10646,"en",7.063053,"2001-03-30",23430766,"Tomcats",4.9,74,"Romance","Revolution Studios","United States of America","Jerry O'Connell","Shannon Elizabeth"
"2942",2942,1.1e+07,12149,"en",16.003958,"2001-11-17",13110448,"Frailty",7,334,"Thriller","David Kirschner Productions","United States of America","Bill Paxton","Matthew McConaughey"
"2943",2943,1.1e+07,304357,"en",21.204929,"2015-04-10",61619773,"Woman in Gold",7.3,440,"Drama","Origin Pictures","United States of America","Helen Mirren","Ryan Reynolds"
"2944",2944,0,11184,"en",6.799314,"2004-09-04",0,"Kinsey",6.6,131,"Drama","Qwerty Films","United States of America","Liam Neeson","Laura Linney"
"2945",2945,1.1e+07,766,"en",33.758281,"1992-10-09",0,"Army of Darkness",7.3,838,"Horror","Universal Pictures","United States of America","Bruce Campbell","Embeth Davidtz"
"2946",2946,1.4e+07,20009,"en",9.371811,"2002-02-01",6413915,"Slackers",5.4,60,"Romance","Sony Pictures","United States of America","Jason Segel","Devon Sawa"
"2947",2947,1.1e+07,1587,"en",33.282794,"1993-12-17",3e+07,"What's Eating Gilbert Grape",7.5,919,"Romance","Paramount Pictures","United States of America","Johnny Depp","Leonardo DiCaprio"
"2948",2948,1e+07,30973,"en",3.208172,"2003-09-11",4069090,"The Visual Bible: The Gospel of John",8.2,12,"History","Visual Bible International","United Kingdom","Christopher Plummer","Henry Ian Cusick"
"2949",2949,1.1e+07,11109,"en",4.131918,"2004-10-22",0,"Vera Drake",6.8,80,"Drama","Untitled 03","United Kingdom","Imelda Staunton","Sally Hawkins"
"2950",2950,0,9027,"en",4.093288,"2002-08-21",0,"The Guru",5.1,75,"Romance","Universal Pictures","United States of America","Jimi Mistry","Heather Graham"
"2951",2951,1.1e+07,63020,"en",1.187671,"1995-05-12",2832826,"The Perez Family",6.6,9,"Romance","Samuel Goldwyn Company, The","United States of America","Marisa Tomei","Alfred Molina"
"2952",2952,1.1e+07,86829,"en",36.319205,"2013-10-06",32935319,"Inside Llewyn Davis",7.2,834,"Music","StudioCanal","United States of America","Oscar Isaac","Carey Mulligan"
"2953",2953,0,11065,"en",4.146752,"2001-08-31",16017403,"O",5.8,75,"Thriller","Rhulen Entertainment","United States of America","Mekhi Phifer","Josh Hartnett"
"2954",2954,1.1e+07,13888,"en",9.705589,"1991-08-02",2807854,"Return to the Blue Lagoon",5.1,153,"Romance","Columbia Pictures Corporation","Fiji","Milla Jovovich","Brian Krause"
"2955",2955,1.1e+07,42345,"en",1.396985,"1970-01-27",2200000,"The Molly Maguires",5.9,16,"History","Tamm Productions","United States of America","Sean Connery","Samantha Eggar"
"2956",2956,0,13994,"en",4.056774,"2005-09-13",2945242,"Romance & Cigarettes",6,33,"Romance","United Artists","United States of America","James Gandolfini","Susan Sarandon"
"2957",2957,1.1e+07,1590,"en",5.062687,"2006-09-10",0,"Copying Beethoven",6.2,42,"Drama","Sidney Kimmel Entertainment","United States of America","Ed Harris","Diane Kruger"
"2958",2958,0,62728,"en",3.122152,"2010-09-13",0,"Brighton Rock",5.6,35,"Thriller","UK Film Council","United Kingdom","Andy Serkis","Helen Mirren"
"2959",2959,10800000,11917,"en",32.943848,"2008-10-23",113857533,"Saw V",5.9,820,"Thriller","Twisted Pictures","United States of America","Tobin Bell","Costas Mandylor"
"2960",2960,0,45138,"it",0.700127,"1969-04-01",0,"Machine Gun McCain",7.3,6,"Thriller","Euroatlantica","Italy","John Cassavetes","Britt Ekland"
"2961",2961,1.1e+07,80271,"en",31.763201,"2012-02-10",0,"LOL",5.9,881,"Romance","PIC Agency","United States of America","Miley Cyrus","Demi Moore"
"2962",2962,0,4657,"en",8.950864,"2006-07-20",0,"Jindabyne",5.7,25,"Thriller","The New South Wales Film and Television Office","Australia","Laura Linney","Gabriel Byrne"
"2963",2963,7400000,14395,"hi",3.246903,"2006-08-11",1.7e+07,"Kabhi Alvida Naa Kehna",6.1,42,"Romance","Yash Raj Films","India","Shah Rukh Khan","Rani Mukerji"
"2964",2964,1.4e+07,24137,"en",4.519523,"1999-04-15",18535191,"An Ideal Husband",6.3,46,"Romance","Pyramide Productions","United States of America","Cate Blanchett","Minnie Driver"
"2965",2965,0,190847,"en",18.764453,"2013-08-11",0,"The Last Days on Mars",5.2,302,"Thriller","Qwerty Films","United Kingdom","Liev Schreiber","Romola Garai"
"2966",2966,0,11056,"en",6.340135,"2002-10-02",0,"Darkness",5.6,112,"Horror","V�a Digital","United States of America","Anna Paquin","Lena Olin"
"2967",2967,10500000,62,"en",67.3859622,"1968-04-10",68700000,"2001: A Space Odyssey",7.9,3040.9,"Science Fiction","Stanley Kubrick Productions","United States of America","Keir Dullea","Gary Lockwood"
"2968",2968,10500000,601,"en",56.105798,"1982-04-03",369284902.7,"E.T. the Extra-Terrestrial",7.3,3040.9,"Science Fiction","Universal Pictures","United States of America","Henry Thomas","Drew Barrymore"
"2969",2969,1e+07,13067,"en",12.792446,"2007-04-16",17500000,"In the Land of Women",5.8,160,"Romance","Land Films Inc.","United States of America","Meg Ryan","Kristen Stewart"
"2970",2970,0,25379,"en",1.985552,"2004-02-20",0,"The Blue Butterfly",6.8,6,"Family","Palpable Productions","Canada","Marc Donato","Pascale Bussières"
"2971",2971,10500000,88641,"en",0.037073,"1994-09-02",123509,"There Goes My Baby",8.5,2,"Drama","Nelson Entertainment","United States of America","Dermot Mulroney","Ricky Schroder"
"2972",2972,0,58051,"hi",0.12082,"2010-04-30",0,"Housefull",5.2,29,"Romance",NA,"India","Akshay Kumar","Ritesh Deshmukh"
"2973",2973,1.1e+07,14877,"en",3.646848,"2007-05-17",0,"September Dawn",5,16,"Western","Voice Pictures","Canada","Jon Voight","Tamara Hope"
"2974",2974,1.2e+07,96399,"en",5.759545,"2012-06-01",9622846,"For Greater Glory - The True Story of Cristiada",6.4,35,"History","Dos Corazones","Mexico","Eva Longoria","Andy García"
"2975",2975,1.1e+07,304410,"fr",25.302978,"2014-12-17",0,"The Bélier Family",7,766,"Music","Vend�me Production","France","Louane Emera","Karin Viard"
"2976",2976,1e+07,489,"en",43.734886,"1997-12-05",225933435,"Good Will Hunting",7.9,3040.9,"Drama","Miramax Films","United States of America","Robin Williams","Matt Damon"
"2977",2977,1.1e+07,373314,"en",10.016909,"2016-02-05",0,"Misconduct",5.3,149,"Thriller","Mike and Marty Productions","United States of America","Josh Duhamel","Alice Eve"
"2978",2978,1e+07,214,"en",33.124871,"2006-10-27",163876815,"Saw III",6.1,1071,"Thriller","Twisted Pictures","United States of America","Tobin Bell","Shawnee Smith"
"2979",2979,1e+07,10890,"en",10.892398,"1981-06-25",85300000,"Stripes",6.5,249,"Comedy","Columbia Pictures Industries","United States of America","Bill Murray","Harold Ramis"
"2980",2980,2.8e+07,1588,"en",14.754281,"2000-08-25",90449929,"Bring It On",5.8,568,"Comedy","Beacon Communications","United States of America","Kirsten Dunst","Jesse Bradford"
"2981",2981,1e+07,316727,"en",53.727146,"2016-06-29",118587880,"The Purge: Election Year",6.1,1306,"Thriller","Why Not Productions","United States of America","Elizabeth Mitchell","Frank Grillo"
"2982",2982,1e+07,10314,"en",8.9876,"1999-01-29",103166989,"She's All That",5.7,418,"Romance","Tapestry Films","United States of America","Freddie Prinze Jr.","Rachael Leigh Cook"
"2983",2983,1e+07,663,"en",29.244768,"2007-10-25",139352633,"Saw IV",5.9,903,"Thriller","Twisted Pictures","United States of America","Tobin Bell","Scott Patterson"
"2984",2984,1e+07,11804,"en",14.447723,"2005-01-07",91196419,"White Noise",5.6,261,"Thriller","White Noise UK Ltd.","United States of America","Michael Keaton","Chandra West"
"2985",2985,6e+06,16781,"en",5.882208,"2006-02-24",57231524,"Madea's Family Reunion",6,77,"Romance","Lions Gate Films","United States of America","Tyler Perry","Blair Underwood"
"2986",2986,13800000,11873,"en",17.3393,"1986-10-07",52293982,"The Color of Money",6.7,291,"Drama","Touchstone Pictures","United States of America","Paul Newman","Tom Cruise"
"2987",2987,1e+07,9289,"en",19.524972,"1962-09-25",50100000,"The Longest Day",7.2,234,"War","Twentieth Century Fox Film Corporation","United States of America","Eddie Albert","Paul Anka"
"2988",2988,1e+07,10414,"en",8.932837,"1992-10-01",50752337,"The Mighty Ducks",6.4,198,"Family","Walt Disney","United States of America","Emilio Estevez","Joss Ackland"
"2989",2989,1e+07,1970,"en",35.695442,"2004-10-22",183474602,"The Grudge",5.8,865,"Thriller","Vertigo Entertainment","United States of America","Sarah Michelle Gellar","Jason Behr"
"2990",2990,1.2e+07,9614,"en",26.598884,"1996-02-16",41205099,"Happy Gilmore",6.5,755,"Comedy","Universal Pictures","United States of America","Adam Sandler","Ben Stiller"
"2991",2991,1e+07,8922,"en",23.316208,"2001-07-01",59217789,"Jeepers Creepers",6.1,720,"Thriller","VCL Communications","United States of America","Gina Philips","Justin Long"
"2992",2992,1e+07,1648,"en",25.929893,"1989-02-17",40485039,"Bill & Ted's Excellent Adventure",6.7,454,"Science Fiction","Orion Pictures","United States of America","Keanu Reeves","Alex Winter"
"2993",2993,1e+07,17917,"en",8.305998,"1968-09-26",37402877,"Oliver!",7,103,"Music","Warwick Film Productions","United Kingdom","Ron Moody","Shani Wallis"
"2994",2994,1e+07,74534,"en",21.258991,"2011-11-28",136836156,"The Best Exotic Marigold Hotel",6.9,459,"Drama","Participant Media","United States of America","Bill Nighy","Maggie Smith"
"2995",2995,1e+07,19405,"en",5.699058,"2001-01-27",44460850,"Recess: School's Out",6.6,67,"Science Fiction","Walt Disney Television Animation","United States of America","Rickey D'Shon Collins","Jason Davis"
"2996",2996,12305523,9355,"en",36.582038,"1985-06-29",36230219,"Mad Max Beyond Thunderdome",5.9,748,"Science Fiction","Kennedy Miller Productions","Australia","Mel Gibson","Tina Turner"
"2997",2997,1e+07,10999,"en",34.224204,"1985-10-03",57500000,"Commando",6.4,742,"Thriller","Twentieth Century Fox Film Corporation","United States of America","Arnold Schwarzenegger","Rae Dawn Chong"
"2998",2998,1e+07,321258,"en",38.179483,"2016-01-22",64188367,"The Boy",5.8,1102,"Thriller","Vertigo Entertainment","United States of America","Lauren Cohan","Rupert Evans"
"2999",2999,1e+07,44040,"en",30.934688,"2010-01-13",33583175,"Devil",5.8,816,"Thriller","Universal Pictures","United States of America","Chris Messina","Jacob Vargas"
"3000",3000,2e+07,10426,"en",7.499639,"2002-11-22",33526835,"Friday After Next",6,100,"Comedy","New Line Cinema","United States of America","Ice Cube","Mike Epps"
"3001",3001,1e+07,280092,"en",45.946524,"2015-06-04",104303851,"Insidious: Chapter 3",6.2,983,"Thriller","Sony Pictures","United States of America","Dermot Mulroney","Stefanie Scott"
"3002",3002,1e+07,13938,"en",4.928777,"1985-03-22",25754284,"The Last Dragon",6.4,69,"Comedy","TriStar Pictures","United States of America","Taimak","Julius Carry"
"3003",3003,1e+07,10163,"en",10.125029,"1992-03-05",32101000,"The Lawnmower Man",5.4,197,"Thriller","New Line Cinema","United States of America","Jeff Fahey","Pierce Brosnan"
"3004",3004,9e+06,12182,"en",20.452449,"2008-10-03",32973937,"Nick and Norah's Infinite Playlist",6.4,379,"Romance","Screen Gems","United States of America","Michael Cera","Kat Dennings"
"3005",3005,1e+07,1832,"en",14.543435,"1999-11-12",30652890,"Dogma",6.8,823,"Fantasy","View Askew Productions","United States of America","Ben Affleck","Matt Damon"
"3006",3006,1e+07,9034,"en",6.015354,"2002-09-20",0,"The Banger Sisters",5.5,62,"Drama","Fox Searchlight Pictures","United States of America","Goldie Hawn","Susan Sarandon"
"3007",3007,1e+07,15301,"en",12.902975,"1983-06-24",29450919,"Twilight Zone: The Movie",6.2,161,"Thriller","Warner Bros.","United States of America","Albert Brooks","Vic Morrow"
"3008",3008,1.5e+07,10135,"en",6.216203,"1989-05-19",30050028,"Road House",6.3,252,"Thriller","United Artists","United States of America","Patrick Swayze","Kelly Lynch"
"3009",3009,1e+07,26352,"en",3.290639,"1994-11-23",29392418,"A Low Down Dirty Shame",6,31,"Crime","Hollywood Pictures","United States of America","Keenen Ivory Wayans","Charles S. Dutton"
"3010",3010,8500000,20616,"en",4.844451,"2002-09-06",34411240,"Swimfan",5,70,"Thriller","Twentieth Century Fox Film Corporation","United States of America","Jesse Bradford","Erika Christensen"
"3011",3011,1.2e+07,9794,"en",9.559737,"2006-10-06",38368909,"Employee of the Month",5.3,153,"Romance","Lionsgate","United States of America","Dane Cook","Jessica Simpson"
"3012",3012,1e+07,15037,"en",11.350382,"1998-06-12",25605015,"Can't Hardly Wait",6.1,122,"Romance","Columbia Pictures","United States of America","Jennifer Love Hewitt","Ethan Embry"
"3013",3013,1e+07,227,"en",13.455373,"1983-03-25",33697647,"The Outsiders",6.9,291,"Drama","Warner Bros.","United States of America","Matt Dillon","Ralph Macchio"
"3014",3014,6.5e+07,294272,"en",31.974359,"2016-08-10",143695338,"Pete's Dragon",6.2,679,"Fantasy","Walt Disney Studios Motion Pictures","United States of America","Bryce Dallas Howard","Oakes Fegley"
"3015",3015,1e+07,11336,"en",16.78512,"1983-10-21",20766616,"The Dead Zone",6.9,311,"Thriller","Paramount Pictures","United States of America","Christopher Walken","Brooke Adams"
"3016",3016,1e+07,283445,"en",26.090495,"2015-08-19",52882018,"Sinister 2",5.4,581,"Horror","Tank Caterpillar","United States of America","Shannyn Sossamon","James Ransone"
"3017",3017,1.4e+07,88036,"en",2.698185,"2012-08-17",24637469,"Sparkle",5.8,36,"Music","TriStar Pictures","United States of America","Whitney Houston","Cee Lo Green"
"3018",3018,0,10984,"en",5.904126,"2001-02-01",0,"Valentine",5,114,"Thriller","Warner Bros.","United States of America","Denise Richards","David Boreanaz"
"3019",3019,1e+07,22824,"en",22.888173,"2009-11-06",42333295,"The Fourth Kind",5.8,441,"Thriller","Universal Pictures","United States of America","Milla Jovovich","Will Patton"
"3020",3020,1e+07,9526,"en",5.025446,"2006-06-09",0,"A Prairie Home Companion",6.4,81,"Music","Sandcastle 5 Productions","United States of America","Meryl Streep","Lindsay Lohan"
"3021",3021,0,39349,"en",2.580808,"1994-02-25",0,"Sugar Hill",5.2,13,"Thriller","South Street Films","United States of America","Wesley Snipes","Michael Wright"
"3022",3022,0,15983,"en",4.192064,"1985-09-27",0,"Invasion U.S.A.",5.3,49,"Thriller","Cannon Films","United States of America","Chuck Norris","Richard Lynch"
"3023",3023,0,14544,"en",2.596338,"2005-09-23",0,"Roll Bounce",6.1,27,"Family","Fox Searchlight Pictures","United States of America","Nick Cannon","Shad Moss"
"3024",3024,9e+06,11545,"en",18.289303,"1998-09-17",17096053,"Rushmore",7.5,676,"Drama","Touchstone Pictures","United States of America","Jason Schwartzman","Olivia Williams"
"3025",3025,1e+07,42684,"en",26.268209,"2010-11-11",66821036,"Skyline",4.7,507,"Science Fiction","Transmission Pictures","United States of America","Eric Balfour","Scottie Thompson"
"3026",3026,1e+07,268238,"en",17.592299,"2015-02-26",85978266,"The Second Best Exotic Marigold Hotel",6.3,272,"Drama","Participant Media","United States of America","Dev Patel","Judi Dench"
"3027",3027,0,8359,"en",6.27141,"2008-07-02",0,"Kit Kittredge: An American Girl",6.4,34,"Family","Red Om Films","United States of America","Abigail Breslin","Chris O'Donnell"
"3028",3028,0,15648,"en",11.158906,"2005-06-17",0,"The Perfect Man",5.5,203,"Romance","Universal Pictures","United States of America","Hilary Duff","Heather Locklear"
"3029",3029,1e+07,41823,"en",3.079862,"1990-08-03",16153593,"Mo' Better Blues",6.3,47,"Romance","Universal Pictures","United States of America","Denzel Washington","Spike Lee"
"3030",3030,0,11891,"en",8.288813,"2002-01-25",0,"Kung Pow: Enter the Fist",6.1,159,"Comedy","Twentieth Century Fox Film Corporation","United States of America","Hui Lou Chen","Tad Horino"
"3031",3031,1.1e+07,9362,"en",32.579697,"1990-01-19",48572000,"Tremors",6.6,864,"Horror","Universal Pictures","United States of America","Kevin Bacon","Fred Ward"
"3032",3032,12600000,9902,"en",33.555764,"2003-05-30",28650575,"Wrong Turn",6,635,"Thriller","Summit Entertainment","United States of America","Desmond Harrington","Eliza Dushku"
"3033",3033,1e+07,14729,"en",2.959547,"1980-05-12",15795189,"The Long Riders",6.6,50,"Western","United Artists","United States of America","David Carradine","Keith Carradine"
"3034",3034,2.5e+07,9455,"en",4.068107,"1999-03-12",15156200,"The Corruptor",6,57,"Thriller","New Line Cinema","United States of America","Mark Wahlberg","Chow Yun-fat"
"3035",3035,1e+07,103731,"en",17.663353,"2013-05-01",21587700,"Mud",7,1068,"Drama","FilmNation Entertainment","United States of America","Matthew McConaughey","Tye Sheridan"
"3036",3036,1e+07,10090,"en",4.207456,"2007-02-23",20342161,"Reno 911!: Miami",5.6,72,"Crime","Twentieth Century Fox Film Corporation","United States of America","Lennie Loftin","Danny DeVito"
"3037",3037,1e+07,164558,"en",7.944457,"2013-08-28",0,"One Direction: This Is Us",8,201,"Music","Sony Pictures","United States of America","Harry Styles","Niall Horan"
"3038",3038,1e+07,19905,"en",3.352702,"2009-08-14",0,"The Goods: Live Hard, Sell Hard",5.4,58,"Comedy","Paramount Vantage","United States of America","Jeremy Piven","Ving Rhames"
"3039",3039,0,17710,"en",5.856363,"2002-06-28",0,"Hey Arnold! The Movie",5.6,62,"Family","Snee-Oosh Productions","United States of America","Spencer Klein","Francesca Smith"
"3040",3040,6400000,75900,"en",21.006078,"2011-10-17",35057696,"My Week with Marilyn",6.6,406,"Drama","UK Film Council","United Kingdom","Michelle Williams","Eddie Redmayne"
"3041",3041,1e+07,9515,"en",5.647538,"2005-05-12",17297244,"The Matador",6.2,136,"Thriller","Miramax Films","United States of America","Pierce Brosnan","Greg Kinnear"
"3042",3042,1e+07,27322,"en",1.000178,"1997-03-14",0,"Love Jones",8.1,12,"Romance","New Line Cinema","United States of America","Larenz Tate","Nia Long"
"3043",3043,5e+06,328425,"en",27.247013,"2015-07-30",58978653,"The Gift",6.7,1049,"Thriller","STX Entertainment","United States of America","Jason Bateman","Rebecca Hall"
"3044",3044,0,14120,"en",1.83428,"2005-12-02",0,"End of the Spear",6.1,15,"Drama","every tribe entertainment","United States of America","Louie Leonardo","Chad Allen"
"3045",3045,1e+07,10050,"en",11.592129,"2001-03-08",0,"Get Over It",5.5,75,"Romance","Miramax","United States of America","Kirsten Dunst","Ben Foster"
"3046",3046,1e+07,1542,"en",18.366362,"1999-02-19",12827813,"Office Space",7.4,1050,"Crime","Twentieth Century Fox Film Corporation","United States of America","Ron Livingston","Jennifer Aniston"
"3047",3047,1e+07,10490,"en",6.736274,"1999-07-23",10571408,"Drop Dead Gorgeous",6.4,86,"Comedy","New Line Cinema","United States of America","Kirsten Dunst","Ellen Barkin"
"3048",3048,1e+07,87093,"en",28.570174,"2014-12-24",28883511,"Big Eyes",6.8,1196,"Drama","Tim Burton Productions","United States of America","Amy Adams","Christoph Waltz"
"3049",3049,3e+07,10029,"en",5.671691,"1998-09-11",9898412,"Very Bad Things",6.2,179,"Thriller","VBT Productions","United States of America","Jon Favreau","Leland Orser"
"3050",3050,0,9893,"en",5.842299,"2004-07-09",0,"Sleepover",5.3,101,"Family",NA,"United States of America","Alexa PenaVega","Mika Boorem"
"3051",3051,1e+07,11507,"en",9.525626,"1984-10-25",8801940,"Body Double",6.4,137,"Thriller","Delphi II Productions","United States of America","Craig Wasson","Melanie Griffith"
"3052",3052,1e+07,37931,"en",14.038512,"2010-05-21",6110000,"MacGruber",5.1,179,"Comedy","Relativity Media","United States of America","Will Forte","Kristen Wiig"
"3053",3053,0,3472,"en",9.177896,"2002-09-05",0,"Dirty Pretty Things",6.8,131,"Thriller","Miramax Films","United Kingdom","Chiwetel Ejiofor","Audrey Tautou"
"3054",3054,6e+06,87818,"en",35.350303,"2013-01-01",32438988,"Movie 43",4.4,797,"Comedy","Witness Protection Films","United States of America","Anna Faris","Emma Stone"
"3055",3055,1e+07,13160,"en",12.067921,"2008-02-01",0,"Over Her Dead Body",5.3,145,"Comedy","The Safran Company","United States of America","Eva Longoria","Jason Biggs"
"3056",3056,1e+07,88005,"en",30.863082,"2012-06-22",9636289,"Seeking a Friend for the End of the World",6.3,700,"Science Fiction","Mandate Pictures","United States of America","Steve Carell","Keira Knightley"
"3057",3057,0,52067,"en",10.254807,"2011-02-11",6861102,"Cedar Rapids",5.9,135,"Comedy","Ad Hominem Enterprises","United States of America","Anne Heche","Ed Helms"
"3058",3058,2e+07,73,"en",67.3859622,"1998-10-30",23875127,"American History X",8.2,3040.9,"Drama","The Turman-Morrissey Company","United States of America","Edward Norton","Edward Furlong"
"3059",3059,0,134597,"en",16.361743,"2012-09-21",6842058,"The Collection",5.9,289,"Thriller","LD Entertainment","United States of America","Josh Stewart","Christopher McDonald"
"3060",3060,1e+07,24034,"en",1.374409,"2004-01-16",0,"Teacher's Pet",5.5,2,"Music","Walt Disney Television Animation","United States of America","Nathan Lane","Kelsey Grammer"
"3061",3061,1.8e+07,14283,"en",6.18869,"1998-09-10",9495408,"The Red Violin",7.3,99,"Thriller","Rhombus Media","United Kingdom","Carlo Cecchi","Irene Grazioli"
"3062",3062,1e+07,404,"en",15.280261,"1999-10-15",0,"The Straight Story",7.7,306,"Drama","Walt Disney Pictures","United States of America","Richard Farnsworth","Sissy Spacek"
"3063",3063,0,13201,"en",0.753481,"2002-05-03",0,"Deuces Wild",5.5,34,"Romance","United Artists","United States of America","Stephen Dorff","Fairuza Balk"
"3064",3064,9500000,209403,"en",14.105392,"2013-09-06",7800000,"Bad Words",6.4,334,"Comedy","Darko Entertainment","United States of America","Jason Bateman","Kathryn Hahn"
